date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:58	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:26:59	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.eot?	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:27:00	77160/77160	---M--	200	added ('OK')	font/woff2	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:27:01	98024/98024	---M--	200	added ('OK')	font/woff	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:27:03	165548/165548	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:27:04	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2010%20Sep%202019%2011:07:12%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/font-awesome/css/font-awesome.min.css)
10:27:05	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Sep%202019%2011:07:14%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.eot	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.eot	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/css/themify-icons.css)
10:27:06	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2010%20Sep%202019%2011:07:14%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.eot?	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themifyd41d.eot	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/css/themify-icons.css)
10:27:08	56108/56108	---M--	200	added ('OK')	font/woff	date:Tue,%2010%20Sep%202019%2011:07:14%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.woff	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.woff	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/css/themify-icons.css)
10:27:09	78584/78584	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2010%20Sep%202019%2011:07:14%20GMT	https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.ttf	D:/hippoburger/https___freaktemplate.com_new_kingscript_dashboard/freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/fonts/themify.ttf	(from https://freaktemplate.com/new_kingscript/admin_panel/vendors/themify-icons/css/themify-icons.css)
